entity_name,latitude,longitude
Hobbs,32.700807,-103.136211
Nicholle,30.0421456,-90.8275944
Kirrell,49.8442173,7.9164377
Elkington,52.384221887,-1.086458751
Jadwin,37.486801,-91.573929
Processe,64.5533562,40.5176613
Chaire,40.103829,22.501281
Iackeson,19.28333,-69.7
Copeland,36.660102,-94.830507
Etheridge,-18.298030719,143.549074351
Parkhurst,-23.303854424,150.503072483
Shipton,51.865318854,-1.948229201
Lake,7.617678409,80.698632418
verie,40.95396,23.39833
Whereunto,NA,NA
Sonne,46.897241918,8.921639937
Chapmen,-35.356643542,149.038914187
Aduenturer,33.3934728,-82.0190059
offensiue speach,NA,NA
Kinge,60.2750531,10.4885014
Argument,58.6137704,125.3971853
Courtes,46.4589,5.1011
Admittance,58.4119989,15.5596154
pawne,-19.8782164,-43.9868493
Suerties,42.8357717,-6.7313115
Shipps,36.21201,-92.36016
Letters Patente,25.99153,-80.27879
Importacon,-33.4364,-70.59341
Charge,47.432846121,1.031342632
St. John,17.12096,-61.84329
Woodnorth,49.732411,-101.081848
ST,0.239310793,6.602059996
LA,18.495498279,103.768057465
Maᵗʸˢ,NA,NA
Newport,50.700219041,-1.293662055
Specie,28.529977,77.219645
Sumer Islands,32.30444,-64.75167
Slaues,55.244088371,21.793065464
Subiect,40.721421,-73.984691
rat€€,NA,NA
Maᵗᶦᵉˢ,NA,NA
the State of Virginia,38.068165955114,-78.69817164489
Southton,29.296349,-98.418626
Treacherous,51.96204,20.15374
Humbly,29.999022,-95.261315
Seauen,59.263469,9.6989756
Complaine,7.38085,168.77403
Monarchycall,NA,NA
Mr Webb,31.254396,-85.275778
Southerton,50.70693105,-3.308938361
Ditchfield,45.549539,-70.831561
Seldon,37.10206,-81.1162
Moorewood,35.74014,-99.353469
Portesmouth,50.796839113,-1.091156463
Declaracon,50.8692,4.3872
yᵉ,NA,NA
the Suffer Islands,41.091569356849,-74.151775034694
Cold,42.1125908,-74.0433807
Ordinance,47.840056,-120.013959
Antient Plantatons,NA,NA
Poultry,25.94771,-80.190405
Hoggs,32.1920992,-84.5890857
Berblock,50.7098036,5.523909
Preston,53.760570187,-2.698524587
Wilkinson,47.25037,-94.627865
Insomuch,NA,NA
Ships,40.726438,-73.996121
Caution,40.9062084,14.2072742
St,0.239310793,6.602059996
Southwark,51.502756326,-0.09679485
Kinswoman,41.44469,-80.588097
Maᵗᵗ.,NA,NA
Matoar,4.84921,-52.32355
Pohatan,33.59052,-87.108331
Infidells,-25.5382644,-49.2687637
Silkworms,54.3207469,-2.7327618
MS,16.739171964,-62.189280121
Sloane,43.733715,-79.317383
the Kingdom of France,-20.5494248,-47.35461
Lands Cultivated,33.581546,-112.014726
Rovinge,54.13547118,24.092524463
Returnes,37.789039,-122.426942
Earles,37.301052,-87.310782
Complain,53.6207388,55.9222506
English Coast,-73.5,-73
Packet,28.6519615,77.1825048
Pylott,40.890638,-74.551575
Maᵗᶦᵉ,NA,NA
Complaintes,55.2110615,-119.4257304
Islands,64.986956859,-18.582382346
Compassion,43.551603,-96.723046
Summer Islands,-30.984095718,152.974911492
Unmasking,55.7128118,37.5282067
Dismaskinge,NA,NA
Plantatons,26.1282759,-80.2423741
quyett,NA,NA
Accountes,42.4045,-82.200979
Middle Temple Gentleman,31.09528998597,-97.272322597511
the Middle Temple,31.09528998597,-97.272322597511
Disbursed,NA,NA
Deputishipp,NA,NA
Bonde,-5.2214734,12.6571169
the Lady Rumny,36.206793,-115.992166
Rumny,43.804416,-71.812941
Beadles,51.038156,-114.078919
Sparrow,37.923722,-85.151181
Compᵃⁿʸ,NA,NA
Severall Courtes,46.4589,5.1011
Booke,-2.4908923,22.0521203
England Scottland,52.118951235415,1.335081574666
Scottland,32.0263659,-85.7063757
Blyth,55.127211958,-1.507759598
Kirbie,-3.930375,17.2611919
White,40.824338,-75.017444
Palauicine,39.0430143,16.3986784
Holborne,47.50376,7.86543
Privy Counsell,39.6701223,2.8161884
Att,40.605375,-74.688934
Twentieth,34.12146,-118.36495
Wheras,-3.71667,133.9
Winckfeild,51.442434588,-0.698180726
Robertᵉ.,14.67751,-60.94228
Sharrow,53.362991469,-1.484571626
yett itt,51.8778224,5.966609
Supply,34.014547,-78.26866
Brittaine Fraunce,43.122539,-77.625657
Accomptᵉ,NA,NA
England Scotland,53.85781235,-1.641987611
Sassaphras,-35.09248574,150.241789225
Assignees,32.686729,35.604267
Woodnett,50.9197,-1.4868
Carles,11.63034,123.34825
Lpˢ.,NA,NA
